,Unnamed: 0.1,Unnamed: 0,simulation_dir,initial_pressure_points,mof_cif_name,cut_off,base_template_path,force_field,nunber_of_cycles,nunber_of_initial_cycles,adsorbate,temperature,molecule_definition,translation_probability,reinsertion_probability,swap_probability,raspa_dir,description
10,1713,677,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]XAMDOF_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
11,10016,7922,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]CUMQOQ_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
12,6254,7330,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]FERVUV_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
13,9579,11080,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]IXAKAU_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
14,2367,10505,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]XEGKOL_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
15,238,4775,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]LAWGEW_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
16,10448,386,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]XAJZOY_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
17,175,10519,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]WEMHED_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
18,7579,6017,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]ZASTUK_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
19,7713,627,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]VELBAQ_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
20,7989,8303,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]WEVQOD_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
21,7158,2739,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]UNERUB_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
22,4077,9342,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]CUGFAN_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
23,6042,5571,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]WEMDOJ_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
24,7330,6188,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]EMOSOO_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
25,11173,11446,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]LAXGOH02_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
26,11374,650,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]LATCEO_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
27,11096,7396,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]HEBNIN_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
28,10321,1887,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]OCUTAI_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
29,4545,9838,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]LUDKUS_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
30,9099,8354,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]GITTUZ_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
31,10535,10757,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]COKQOK_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
32,3532,9799,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]VAGBEN_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
33,8896,10240,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]DAZCAK_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
34,7488,8287,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]NUYQUU_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
35,9822,2084,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]OXALOP_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
36,2081,10883,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]EDEPAG_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
37,2544,4445,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]UVUDUM_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
38,7765,9199,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]SEFNIB_charged.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
39,858,5277,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]YARBAW_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
40,7249,2378,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]RINPEJ_charged.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
41,3865,9016,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]AXUBOL_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
42,6332,682,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]LUDVEL_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
43,4131,4691,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]QUNVIG_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
44,3228,1535,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]QODHUO01_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
45,4533,7256,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]NETHOJ_clean_h.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
46,10231,9748,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]JUVROJ_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
47,412,11523,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]CAYDUD_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
48,1139,7966,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]UPOSOI_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
49,10636,2315,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]MISQIQ04_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
50,5474,4193,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]HEGPAL_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
51,653,4357,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]ELUQIM01_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
52,5187,11395,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]JUSBAC_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
53,6022,8592,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]FANCIJ_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
54,7006,1211,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]QEJYIP_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
55,7266,9380,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]OPUCUY_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
56,10238,3870,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]LOFCUF_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
57,843,3642,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]ICAQOU_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
58,2821,6073,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]EXOZEX_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
59,10378,5225,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]BIRMUM_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
60,2313,10886,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]CURQEN_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
61,5174,6212,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]HOWSIX_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
